matrix,eqe_best,process_material,metal_precursor,co_reactant_any,family,gpc_num,temp_num
AlO,NA,AlO,Er(thd),O,thd,NA,300
YO,NA,YO,Er(thd),O,thd,0.22-0.23,250-300
YO,NA,YO,Er(MeCp),HO,MeCp,1.20-1.30,200-400
YO,NA,YO,Er(EtCp),HO,EtCp,1.70,200-400
YO,NA,YO,Er(iPr2amd),HO,iPr2amd,0.80,150-280
YO,NA,YO,Er(iPrCp),O,iPrCp,1.70,245-300
YO,NA,YO,Er(iPr2amd)(EtCp),HO,iPr2amd,1.10,300-450
YO,NA,YO,Er(iPr2amd)(EtCp),O,iPr2amd,1.10,300-450
YO,NA,YO,Er(iPr2amd)(EtCp),O,iPr2amd,0.90,300-450
YO,NA,YO,Er(iPr2amd)(iPrCp),HO,iPr2amd,0.40,350-450
YO,NA,YO,Er(iPr2amd)(iPrCp),O,iPr2amd,NA,350
YO,NA,YO,Er(dpdmg),HO,dpdmg,1.10,175-250
YO,NA,YO,Er(tBu2famd),HO,tBu2famd,0.67,200-325
YO,NA,YO,Er(tBuCp),HO,tBuCp,1.70,250
AlO,NA,AlO,Er(thd),TMA,thd,0.55,270
AlO,NA,AlO,Er(thd),TMA,thd,0.64,250
AlO,NA,AlO,Er(iPr2amd),TMA,iPr2amd,0.80,300-330
AlO,NA,AlO,Er(iPr2famd),TMA,iPr2famd,2.80,300-330
AlO,NA,AlO,Er(iPrCp),TMA,iPrCp,1.70,250-350
AlO,NA,AlO,[La(iPr2amd)(OiPr)(PriOH)],HO,iPr2amd,0.10,180-350
AlO,NA,AlO,Er(iPrCp),TMA,iPrCp,4.50-5.00,200-350
