application,dopant,n_hosts
Luminescence,Er,10
Luminescence,Tb,4
Luminescence,Eu,3
Luminescence,Ce,2
Luminescence,Nd,2
Electrolyte,Y,2
Gate dielectrics,La,3
Gate dielectrics,Y,2
Gate dielectrics,Gd,2
Memory,La,3
Memory,Y,2
Memory,Gd,2
Thermometry,Nd,1
Thermometry,Sm,1
Thermometry,Eu,1
Thermometry,Tb,1
Thermometry,Dy,1
Thermometry,Ho,1
Thermometry,Er,1
Thermometry,Tm,1
Thermometry,Yb,1
Waveguides,Er,1
Waveguides,Yb,1
Optoelectronics,La,1
Interphase,Y,1
Interphase,La,1
Interphase,Dy,1
Magnetics,La,1
Magnetics,Pr,1
Magnetics,Nd,1
Magnetics,Sm,1
Magnetics,Eu,1
Magnetics,Tb,1
Magnetics,Dy,1
Magnetics,Ho,1
Magnetics,Er,1
Magnetics,Tm,1
Magnetics,Yb,1
