application,dopant,n_hosts
luminescence,Tb,3
luminescence,Eu,3
luminescence,Er,2
luminescence,Yb,2
luminescence,Ho,1
luminescence,Tm,1
luminescence,Dy,1
luminescence,Sm,1
luminescence,Pr,1
luminescence,Nd,1
luminescence,Ce,1
luminescence,Gd,1
luminescence,La,1
memory,Y,2
memory,La,2
memory,Gd,1
memory,Pr,1
memory,Er,1
memory,Dy,1
gate dielectrics,Y,2
gate dielectrics,La,2
gate dielectrics,Pr,1
gate dielectrics,Gd,1
gate dielectrics,Er,1
gate dielectrics,Dy,1
electrolyte,Y,2
electrolyte,La,1
electrolyte,Dy,1
