idx,raw_ref,best_doi,best_title,best_container_title,best_year,best_volume,best_page,best_article_number,score,decision
1,"[1] K. J. Kanarik, T. Lill, E. A. Hudson, S. Sriraman, S. Tan, J. Marks, V. Vahedi, and R. A. Gottscho, J. Vac. Sci. Technol. A 33, 020802 (2015).",,,,,,,,,no_match
2,"[2] M. Yoder, U.S. patent 4,756,794A (12 July 1988).",10.1016/b978-0-12-033706-4.50009-8,Cochliobolus Heterostrophus. Cause of Southern Corn Leaf Blight,Advances in Plant Pathology,1988.0,,93-112,,25.0,low_confidence
3,"[3] S. M. George, Chem. Rev. 110, 111 (2010).",10.1021/cr800433k,Carbon Nanotube−Inorganic Hybrids,Chemical Reviews,2010.0,110.0,1348-1385,,70.0,accepted
4,"[4] T. Faraz, H. C. M. Knoops, F. Roozeboom, and W. M. M. Kessels, ECS J. Solid State Sci. Technol. 4, N5023 (2015).",,,,,,,,,no_match
5,"[5] T. Lill, V. Vahedi, and R. Gottscho, “Etching of semiconductor devices,” in Materials Science and Technology (Wiley, Weinheim, 2019).",10.1055/a-0757-8807,Frakturversorgung der Patella,OP-JOURNAL,2019.0,34.0,156-161,,25.0,low_confidence
6,"[6] P. Gupta, C. H. Mak, P. A. Coon, and S. M. George, Phys. Rev. B 40, 7739 (1989).",,,,,,,,,no_match
7,"[7] P. Gupta, P. A. Coon, B. G. Koehler, and S. M. George, J. Chem. Phys. 93, 2827 (1990).",,,,,,,,,no_match
8,"[8] P. A. Coon, M. L. Wise, A. C. Dillon, M. B. Robinson, and S. M. George, J. Vac. Sci. Technol. B 10, 221 (1992).",,,,,,,,,no_match
9,"[9] P. A. Coon, P. Gupta, M. L. Wise, and S. M. George, J. Vac. Sci. Technol. A 10, 324 (1992).",,,,,,,,,no_match
10,"[10] D. A. King and M. G. Wells, Proc. R. Soc. London 339, 245 (1974).",,,,,,,,,no_match
11,"[11] P. B. Chu, J. T. Chen, R. Yeh, G. Lin, J. C. P. Huang, B. A. Warneke, and S. J. Pister, “Controlled pulse-etching with xenon difluoride,” Proceedings of IEEE International Solid State Sensors and Actuators Conference (Transducers ‘97), Chicago, IL, 19 June 1997 (IEEE, New York, 1997), Vol. 1, pp. 665–668.",10.2172/564278,"Atomic physics in strong fields. Final report, September 15, 1990--August 15, 1997",,1997.0,,,,25.0,low_confidence
12,"[12] Y. Lee and S. M. George, Chem. Mater. 29, 8202 (2017).",10.1021/acs.chemmater.7b02286,"Thermal Atomic Layer Etching of Titanium Nitride Using Sequential, Self-Limiting Reactions: Oxidation to TiO<sub>2</sub> and Fluorination to Volatile TiF<sub>4</sub>",Chemistry of Materials,2017.0,29.0,8202-8210,,100.0,accepted
13,"[13] H. F. Winters and J. W. Coburn, Appl. Phys. Lett. 34, 70 (1979).",10.1063/1.90562,The etching of silicon with XeF2 vapor,Applied Physics Letters,1979.0,34.0,70-73,,100.0,accepted
14,"[14] C. R. Helms and B. E. Deal, J. Vac. Sci. Technol. A 10, 806 (1992).",,,,,,,,,no_match
15,"[15] V. M. Donnelly, J. Vac. Sci. Technol. A 35, 05C202 (2017).",,,,,,,,,no_match
16,"[16] D. E. Ibbotson, J. A. Mucha, D. L. Flamm, and J. M. Cook, J. Appl. Phys. 56, 2939 (1984).",10.1063/1.333834,,,,,,,,accepted
17,"[17] P. J. Holmes and J. E. Snell, Microelectron. Reliab. 5, 337 (1966).",,,,,,,,,no_match
18,"[18] J. Ruzyllo, K. Torek, C. Daffron, R. Grant, and R. Novak, J. Electrochem. Soc. 140, L64 (1993).",,,,,,,,,no_match
19,"[19] M. A. George, D. W. Hess, S. E. Beck, K. Young, D. A. Bohling, G. Voloshin, and A. P. Lane, J. Electrochem. Soc. 143, 3257 (1996).",10.1177/110330889600400302,Parental power and gender revolution,YOUNG,1996.0,4.0,19-31,,55.0,accepted
20,"[20] A. Mameli, M. A. Verheijen, A. J. M. Mackus, W. M. M. Kessels, and F. Roozeboom, ACS Appl. Mater. Interfaces 10, 38588 (2018).",10.1021/acsami.8b12767,,,,,,,,accepted
21,"[21] D. R. Lide, CRC Handbook of Chemistry and Physics, 85th ed. (CRC, Boca Raton, 2004).",10.5951/mtms.9.5.0280,Circles of Humanity,Mathematics Teaching in the Middle School,2004.0,9.0,280-285,,25.0,low_confidence
22,"[22] K. Ikeda, S. Imai, and M. Matsumuraf, Appl. Surf. Sci. 112, 87 (1997).",10.1016/S0169-4332(96)00995-6,,,,,,,,accepted
23,"[23] Y. Lee and S. M. George, ACS Nano 9, 2061 (2015).",10.1021/nn507277f,"Atomic Layer Etching of Al<sub>2</sub>O<sub>3</sub> Using Sequential, Self-Limiting Thermal Reactions with Sn(acac)<sub>2</sub> and Hydrogen Fluoride",ACS Nano,2015.0,9.0,2061-2070,,100.0,accepted
24,"[24] R. Mullins, S. K. Natarajan, S. D. Elliott, and M. Nolan, Chem. Mater. 32, 3414 (2020).",10.1016/j.chempr.2020.01.004,Science that Inspires,Chem,2020.0,6.0,317-319,,55.0,accepted
25,"[25] A. Fischer, A. Routzahn, Y. Lee, T. Lill, and S. M. George, J. Vac. Sci. Technol. A 38, 022603 (2020).",10.3390/sci2020033,Railway Vehicle Wheel Restoration by Submerged Arc Welding and Its Characterization,Sci,2020.0,2.0,33,,60.0,accepted
26,"[26] Y. Lee, J. W. DuMont, and S. M. George, J. Phys. Chem. C 119, 25385 (2015).",10.1021/acs.jpcc.5b07236,,,,,,,,accepted
27,"[27] B. E. Deal and A. S. Grove, J. Appl. Phys. 36, 3770 (1965).",10.1063/1.1713945,General Relationship for the Thermal Oxidation of Silicon,Journal of Applied Physics,1965.0,36.0,3770-3778,,100.0,accepted
28,"[28] A. M. Cano, A. E. Marquardt, J. W. DuMont, and S. M. George, J. Phys. Chem. C 123, 10346 (2019).",10.1021/acs.jpcc.9b00124,,,,,,,,accepted
29,"[29] M. Lucht, M. Lerche, H.-C. Wille, Yu. V. Shvyd’ko, H. D. Rüter, E. Gerdau, and P. Becker, J. Appl. Crystallogr. 36, 1075 (2003).",,,,,,,,,no_match
30,"[30] B. Diawara, Y. Beh, and P. Marcus, Atomistic Simulation of the Passivation of Iron-Chromium Alloys Using Calculated Local Diffusion Activation Barriers (Elsevier, Paris, 2006), p. 651.",10.1016/b978-044452224-5/50100-1,Atomistic simulation of the passivation of iron-chromium alloys using calculated local diffusion activation barriers,"Passivation of Metals and Semiconductors, and Properties of Thin Oxide Layers",2006.0,,651-657,,30.0,low_confidence
31,"[31] A. Fischer, A. Routzahn, S. Wen, and T. Lill, J. Vac. Sci. Technol. A 38, 042601 (2020).",10.3390/sci2020031,Antioxidant Properties of Western Georgia Native Khechechuri Pear,Sci,2020.0,2.0,31,,55.0,accepted
32,"[32] J. W. Coburn and H. F. Winters, Appl. Phys. Lett. 55, 2730 (1989).",10.1063/1.101937,Conductance considerations in the reactive ion etching of high aspect ratio features,Applied Physics Letters,1989.0,55.0,2730-2732,,100.0,accepted
33,"[33] K. Malek and M.-O. Coppens, J. Chem. Phys. 119, 2801 (2003).",10.1063/1.1584652,Knudsen self- and Fickian diffusion in rough nanoporous media,The Journal of Chemical Physics,2003.0,119.0,2801-2811,,100.0,accepted
34,"[34] J. Abel, K. Lavoie, and K. Purushottam, U.S. patent 10727046 (28 July 2020).",10.2105/ccdmc.3087.129,Trachoma,Control of Communicable Diseases Clinical Practice,2020.0,,,,25.0,low_confidence
35,"[35] Y. Lee, J. W. DuMont, and S. M. George, ECS J. Solid State Sci. Technol. 4, N5013 (2015).",10.1149/2.0041506jss,,,,,,,,accepted
36,"[36] Y. Lee, J. W. DuMont, and S. M. George, Chem. Mater. 27, 3648 (2015).",10.1021/acs.chemmater.5b00300,,,,,,,,accepted
37,"[37] C. T. Carver, J. J. Plombon, P. E. Romero, S. Suri, T. A. Tronic, and R. B. Turkot, ECS J. Solid State Sci. Technol. 4, N5005 (2015).",,,,,,,,,no_match
38,"[38] S. M. George, Acc. Chem. Res. 53, 1151 (2020).",10.1021/acs.accounts.0c00084,Mechanisms of Thermal Atomic Layer Etching,Accounts of Chemical Research,2020.0,53.0,1151-1160,,95.0,accepted
39,"[39] K. J. Kanarik et al., J. Vac. Sci. Technol. A 35, 05C302 (2017).",,,,,,,,,no_match
40,"[40] D. R. Zywotko and S. M. George, Chem. Mater. 29, 1183 (2017).",10.1021/acs.chemmater.6b04529,Thermal Atomic Layer Etching of ZnO by a “Conversion-Etch” Mechanism Using Sequential Exposures of Hydrogen Fluoride and Trimethylaluminum,Chemistry of Materials,2017.0,29.0,1183-1191,,100.0,accepted
41,"[41] J. W. DuMont, A. E. Marquardt, A. M. Cano, and S. M. George, ACS Appl. Mater. Interfaces 9, 10296 (2017).",10.1021/acsami.7b01259,,,,,,,,accepted
42,"[42] N. R. Johnson and S. M. George, ACS Appl. Mater. Interfaces 9, 34435 (2017).",10.1021/acsami.7b09161,,,,,,,,accepted
43,"[43] A. Fischer, A. Routzahn, T. Lill, and S. Varadarajan, U.S. patent pending (2019).",10.5771/9783845299495-383,Die Europäische Union und Russland,Jahrbuch der Europäischen Integration 2019,2019.0,,383-388,,25.0,low_confidence
