"material","family","co_reactant","gpc_num","temp_num"
"Y2O3","β-diketonate","O3","1.20","250"
"Y2O3","β-diketonate","O3","1.20","250"
"Y2O3","β-diketonate","O3","1.20","250"
"Y2O3","β-diketonate","O3","1.20","250"
"Y2O3","β-diketonate","O3","1.20","250"
"Y2O3","β-diketonate","O3","1.20","250"
"Y2O3","β-diketonate","O3","1.20","250"
"Y2O3","β-diketonate","O3","1.20","250"
"Y2O3","β-diketonate","O2 plasma","1.20","200"
"Y2O3","Cp-derived","H2O","1.00","250"
"Y2O3","Cp-derived","H2O","1.00","250"
"Y2O3","amidinate","H2O","1.20","225"
"Y2O3","amidinate","H2O","1.20","225"
"Y2O3","amidinate","O3","1.20","225"
"Y2O3","guanidinate","H2O","1.40","230"
"La2O3","Cp-derived","H2O","1.05","200"
"La2O3","amidinate","H2O","1.20","200"
"La2O3","amidinate","H2O","1.20","200"
"La2O3","amidinate","O3","1.20","200"
"La2O3","amidinate","O3","1.20","200"
"La2O3","formamidinate","H2O","1.70","200"
"La2O3","formamidinate","O3","1.40","200"
"LaAlO3","amidinate","H2O","1.20","200"
"LaAlO3","amidinate","H2O","1.20","200"
"Pr2O3","amidinate","H2O","1.47","200"
"Pr2O3","amidinate","H2O","1.66","200"
"Nd2O3","β-diketonate","O3","1.00","250"
"Er2O3","guanidinate","H2O","1.10","150"
"Er2O3","amidinate","H2O","1.10","225"
"Er2O3","amidinate","H2O","1.20","225"
"Er2O3","Cp-derived","H2O","1.20","250"
"Er2O3","Cp-derived","O3","1.00","225"
"Lu2O3","Cp-derived","H2O","1.00","200"
"Lu3Al5O12","β-diketonate","O3","1.00","200"
"Lu3Ga5O12","β-diketonate","O3","1.00","200"
