material,family,co_reactant,gpc_num,temp_num
Y2O3,Cp-derived,H2O,1.20-1.30,200-400
Y2O3,Cp-derived,H2O,1.00,250-325
Y2O3,Cp-derived,H2O,1.70,200-400
Y2O3,Cp-derived,O3,1.70,245-300
Y2O3,Cp-derived,H2O,1.10,300-450
Y2O3,Cp-derived,O3,1.10,300-450
Y2O3,guanidinate,H2O,1.10,175-250
Y2O3,Cp-derived,H2O,1.40-1.70,230
Y2O3,formamidinate,H2O,1.36,150-325
Y2O3,Cp-derived,H2O,1.70,250
YAlO3,Cp-derived,H2O,1.55,300
YF3,β-diketonate,TiF4,1.10-1.70,225-325
La2O3,Cp-derived,H2O,0.10,280-480
La2O3,amidinate,H2O,1.05,200-300
La2O3,formamidinate,H2O,1.70,200-250
La2O3,formamidinate,O3,1.20-1.40,200-250
La2O3,Cp-derived,H2O,1.20-3.00,200-300
LaF3,β-diketonate,TiF4,2.00-5.00,225-350
CeO2,Cp-derived,H2O,1.90,240
CeO2,amidinate,O3,2.80,210-270
CeO2,guanidinate,H2O,2.10,160
CeO2,Cp-derived,H2O,1.50,245
Pr2O3,alkoxide/amide,H2O,0.15-2.90,200-400
Pr2O3,Cp-derived,H2O,1.47-1.66,200-300
PrxAl2-xO3,Cp-derived,H2O,1.70,250-350
Gd2O3,Cp-derived,H2O,1.00-3.20,175-300
Gd2O3,Cp-derived,H2O,1.00-3.20,175-300
Gd2O3,guanidinate,H2O,1.00-1.10,175-350
Gd2O3,Cp-derived,O2 plasma,1.40,250
Gd2O3,Cp-derived,H2O,1.16-1.38,200-250
GdScO3,amidinate,H2O,2.00,310
GdScO3,Cp-derived,H2O,2.20,300
Dy2O3,guanidinate,H2O,1.00,200-350
Dy2O3,Cp-derived,H2O,1.16-1.38,300-350
HoF3,β-diketonate,NbF5,1.00,250-275
Er2O3,Cp-derived,H2O,1.50,250-350
Er2O3,guanidinate,H2O,1.10,150-275
Er2O3,Cp-derived,H2O,1.10-1.20,225-275
Er2O3,Cp-derived,H2O,0.80-1.20,200-300
Er2O3,Cp-derived,H2O,1.20,250-325
Tm2O3,Cp-derived,H2O,1.50,200-300
Yb2O3,Cp-derived,H2O,1.00,180-375
LuAlO3,Cp-derived,O3,1.30,250
LuAlO3,Cp-derived,H2O,1.30,250
