idx,raw_ref,best_doi,best_title,best_container_title,best_year,best_volume,best_page,best_article_number,score,decision
1,"[1] K. J. Kanarik, T. Lill, E. A. Hudson, S. Sriraman, S. Tan, J. Marks, V. Vahedi, and R. A. Gottscho, J. Vac. Sci. Technol. 33, 020802 (2015).",,,,,,,,,no_match
2,"[2] K. S. Min, C. Park, C. Y. Kang, C. S. Park, B. J. Park, Y. W. Kim, B. H. Lee, J. C. Lee, G. Bersuker, P. Kirsch, R. Jammy, and G. Y. Yeom, Solid-State Electron. 82 (2013).",,,,,,,,,no_match
3,"[3] J. Li, Y. Xia, B. Liu, G. Feng, Z. Song, D. Gao, Z. Xu, W. Wang, Y. Chan, and S. Feng, Appl. Surf. Sci. 378 (2016).",,,,,,,,,no_match
4,"[4] Y. Dong, Z. Jiang, and Y. Huang, Proceedings of the 2018 China Semiconductor Technology International Conference (Shanghai, China, March 11-12, 2018), pp. 1􀁭3.",,,,,,,,,no_match
5,"[5] F. Roozeboom, F. van den Bruele, Y. Creyghton, P. Poodt, and W. M. M. Kessels, ECS J. Solid State Sci. Technol. 4, 6 (2015).",,,,,,,,,no_match
6,"[6] C. M. Huard, Y. Zhang, S. Sriraman, A. Paterson, K. J. Kanarik, and M. J. Kushner, J. Vac. Sci. Technol. A 35, 3 (2017).",,,,,,,,,no_match
7,"[7] C. T. Carver, J. J. Plombon, P. E. Romero, S. Suri, T. A. Tronic, and R. B. Turkot, ECS J. Solid State Sci. Technol. 4, 6 (2015).",,,,,,,,,no_match
8,"[8] K. S. Min, S. H. Kang, J. K. Kim, J. H. Yum, Y. I. Jhon, T. W. Hudnall, C. W. Bielawski, S. K. Banerjee, G. Bersuker, M. S. Jhon, and G. Y. Yeom, Microelectron. Eng. 114 (2014).",,,,,,,,,no_match
9,"[9] K. J. Kanarik, S. Tan, W. Yang, T. Kim, T. Lill, A. Kabansky, E. A. Hudson, T. Ohba, K. Nojiri, J. Yu, R. Wise, I. L. Berry, Y. Pan, J. Marks, and R. A. Gottscho, J. Vac. Sci. Technol. A 35, 5 (2017).",,,,,,,,,no_match
10,"[10] W. S. Lim, Y. Y. Kim, H. Kim, S. Jang, N. Kwon, B. J. Park, J. Ahn, I. Chung, B. H. Hong, and G. Y. Yeom, Carbon 50, 2 (2012).",10.1016/j.carbon.2011.08.058,Atomic layer etching of graphene for full graphene device fabrication,Carbon,2012.0,50.0,429-435,,80.0,accepted
11,"[11] K. S. Kim, K. H. Kim, Y. Nam, J. Jeon, S. Yim, E. Singh, J. Y. Lee, S. J. Lee, Y. S. Jung, G. Y. Yeom, and D. W. Kim, ACS Appl. Mater. Interfaces 9, 13 (2017).",,,,,,,,,no_match
12,"[12] J. Feng, X. Gong, X. Lou, and R. G. Gordon, ACS Appl. Mater. Interfaces 9, 12 (2017).",,,,,,,,,no_match
13,"[13] H. Shang, M. H. White, K. W. Guarini, P. Solomon, E. Cartier, F. R. McFeely, J. J. Yurkas, and W. Lee, Appl. Phys. Lett. 78, 20 (2001).",,,,,,,,,no_match
14,"[14] G. Wang, Q. Xu, T. Yang, J. Xiang, J. Xu, J. Gao, C. Li, J. Li, J. Yan, D. Chen, T. Ye, C. Zhao, and J. Luo, ECS J. Solid State Sci. Technol. 3, 4 (2014).",,,,,,,,,no_match
15,"[15] F. W. Mont, X. Zhang, W. Wang, J. J. Kelly, T. E. Standaert, R. Quon, and E. Todd, 2017 IEEE International Interconnect Technology Conference (Hsinchu, Taiwan, May 16-18, 2017), pp. 1􀁭3.",10.1055/s-0037-1604441,Isolated Group of Failures without Denominator,The Journal of Knee Surgery,2017.0,31.0,591-592,,25.0,low_confidence
16,"[16] S. Zhang, M. Shen, Y. Xu, Q. Wu, Y. Lin, and Y. Gu, ECS Trans. 44, 1 (2012).",,,,,,,,,no_match
17,"[17] J. K. Chen, N. D. Altieri, T. Kim, E. Chen, T. Lill, M. Shen, and J. P. Chang, J. Vac. Sci. Technol. A 35, 5 (2017).",10.1116/1.4983830,,,,,,,,accepted
18,"[18] Y. Lee and S. M. George, Chem. Mater. 29, 19 (2017).",10.1021/acs.chemmater.7b02286,"Thermal Atomic Layer Etching of Titanium Nitride Using Sequential, Self-Limiting Reactions: Oxidation to TiO<sub>2</sub> and Fluorination to Volatile TiF<sub>4</sub>",Chemistry of Materials,2017.0,29.0,8202-8210,,80.0,accepted
19,"[19] N. R. Johnson, H. Sun, K. Sharma, and S. M. George, J. Vac. Sci. Technol. A 34, 5 (2016).",10.1116/1.4959779,,,,,,,,accepted
20,"[20] K. J. Kanarik, S. Tan, and R. A. Gottscho, J. Phys. Chem. Lett. 9, 16 (2018).",10.1016/j.chempr.2017.12.023,A Crystal with Nearly 200% of Its Body Weight in Water,Chem,2018.0,4.0,16-17,,75.0,accepted
21,"[21] S. D. Sherpa and A. Ranjan, J. Vac. Sci. Technol. A 35, 1 (2017).",,,,,,,,,no_match
22,"[22] S. Tan, W. Yang, K. J. Kanarik, T. Lill, V. Vahedi, J. Marks, and R. A. Gottscho, ECS J. Solid State Sci. Technol. 4, 6 (2015).",,,,,,,,,no_match
23,"[23] A. Ludviksson, M. Xu, and R. M. Martin, Surf. Sci. 277, 3 (1992).",,,,,,,,,no_match
24,"[24] D. Metzler, R. L. Bruce, S. Engelmann, E. A. Joseph, and G. S. Oehrlein, J. Vac. Sci. Technol. A 32, 2 (2014).",,,,,,,,,no_match
25,"[25] K. Shinoda, N. Miyoshi, H. Kobayashi, M. Izawa, T. Saeki, K. Ishikawa, and M. Hori, J. Vac. Sci. Technol. A 37, 5 (2019).",10.3390/sci1010025,Railway Vehicle Wheel Restoration by Submerged Arc Welding and Its Characterization,Sci,2019.0,1.0,25,,55.0,accepted
26,"[26] K. J. Kanarik, S. Tan, W. Yang, T. Kim, T. Lill, A. Kabansky, E. A. Hudson, T. Ohba, K. Nojiri, J. Yu, R. Wise, I. L. Berry, Y. Pan, J. Marks, and R. A. Gottscho, J. Vac. Sci. Technol. A 35, 5 (2017).",10.1116/1.4979019,,,,,,,,accepted
27,"[27] I. L. Berry, K. J. Kanarik, T. Lill, S. Tan, V. Vahedi, and R. A. Gottscho, J. Vac. Sci. Technol. A 36, 1 (2018).",10.3390/sci1010001,Sci—An Open Access Journal with Post-Publication Peer Review,Sci,2018.0,1.0,1-1,,75.0,accepted
28,"[28] J. W. Park, D. S. Kim, W. O. Lee, J. E. Kim, and G. Y. Yeom, Nanotechnol. 30, 8 (2019).",10.1088/1361-6528/aaf521,,,,,,,,accepted
29,"[29] D. S. Kim, J. E. Kim, W. O. Lee, J. W. Park, Y. J. Gill, B. H. Jeong, and G. Y. Yeom, Plasma Process Polym. 16, 9 (2019).",10.1002/ppap.201900081,,,,,,,,accepted
30,"[30] N. Toyoda and A. Ogawa, J. Phys. D: Appl. Phys. 50, 18 (2017).",10.1088/1361-6463/aa6527,Atomic layer etching of Cu film using gas cluster ion beam,Journal of Physics D: Applied Physics,2017.0,50.0,184003,,80.0,accepted
31,"[31] N. R. Johnson and S. M. George, ACS Appl. Mater. Interfaces 9, 39 (2017).",10.1021/acsami.7b09161,,,,,,,,accepted
32,"[32] M. Konh, C. He, X. Lin, X. Guo, V. Pallem, R. L. Opila, A. V. Teplyakov, Z. Wang, and B. Yuan, J. Vac. Sci. Technol. A 37, 021004 (2019).",10.3390/sci1020037,Thermoelectric Materials—Strategies for Improving Device Performance and Its Medical Applications,Sci,2019.0,1.0,37,,55.0,accepted
33,"[33] W. Xie, P. C. Lemaire, and G. N. Parsons, ACS Appl. Mater. Interfaces 10, 10 (2018).",10.1021/acsami.7b19024,,,,,,,,accepted
34,"[34] E. Mohimi, X. I. Chu, B. B. Trinh, S. Babar, G. S. Girolami, and J. R. Abelson, ECS J. Solid State Sci. Technol. 7, 9 (2018).",10.1149/2.0211809jss,,,,,,,,accepted
