material,reactant_1,reactant_2,reactant_3,n_reports
AlO,HF,TMA,,"7"
AlO,HF,DMAC,,"3"
AlO,HF,Sn(acac),,"3"
AlO,HF,Sn(acac)/TMA/DMAC/SiCl,,"1"
AlO,HF,TMA,,"1"
AlO,HF,DMAC,,"1"
AlO,CHF,TMA,,"1"
AlO,HF,DFT study of fluorination reaction,,"1"
AlF,HF,Sn(acac),,"1"
AlN,HF,Sn(acac),,"1"
Co,Cl,Hhfac/Hacac,,"1"
CoO,Hhfac,,"1"
CuO,Hhfac,,"1"
Fe,Cl,Hacac,,"1"
GaO,HF,BCl/DMAC/TMA/TiCl/Ga[N(CH)/3]/2,,"1"
GaN,XeF,BCl,,"1"
Ge,Cl,Thermal cycling,,"1"
HfO,HF,Sn(acac),,"1"
HfO,HF,Sn(acac)/TMA/DMAC/SiCl,,"1"
HfO,HF,TiCl,,"1"
HfO,HF,DMAC,,"1"
HfO,HF,DFT study of fluorination reaction,,"1"
HfO,HF,DMAC/TiCl,,"1"
HfO,HF/XeF/SF,DMAC/TiCl,,"1"
HfZrO,HF,DMAC/TiCl,,"1"
HfZrO,HF/XeF/SF,DMAC/TiCl,,"1"
InGaAs,HF,DMAC,,"1"
InAlAs,HF,DMAC,,"1"
InGaZnO,HF,DMAC,,"1"
MoO,BCl,HF,,"1"
NiO,H+hfac,,"1"
SiO,HF,TMA,,"1"
SiO,CHF,TMA,,"1"
Si,ClF/BrF/BrF/IF,,"1"
Si,Cl,Thermal cycling,,"1"
SiNO,O/O,HF,TMA,,"1"
SiO,TMA,HF,,"1"
SiO,CHF,TMA,,"1"
TiN,O,HF,,"1"
TiN,CHF/O downstream,Thermal cycling,,"1"
TiO,WF,BCl,,"1"
TiO,WF,BCl,,"1"
VO,HF/SF,Sn(acac),,"1"
WO,O/O,BCl,HF,,"1"
WO,O/O,WF,Xie,,"1"
WO,O/O,WCl,Xie,,"1"
WO,O/O,BCl,HF,,"1"
ZnO,Hacac,O plasma,,"1"
ZnO,HF,TMA,,"1"
ZrO,HF,Sn(acac)/TMA/DMAC/SiCl,,"1"
ZrO,HF,DMAC,,"1"
ZrO,HF,DFT study of fluorination reaction,,"1"
ZrO,HF,DMAC/TiCl,,"1"
