"material","reactant_1","reactant_2","reactant_3","n_reports"
"AlO2","HF","TMA","","4"
"AlO2","HF","TMA,DMAC","","1"
"AlO2","HF","DMAC","","3"
"AlO2","HF","Sn(acac)","","3"
"AlO2","HF","Sn(acac),TMA,DMAC","","1"
"AlO2","CHF","TMA","","1"
"AlF3","HF","Sn(acac)","","1"
"AlN","HF","Sn(acac)","","1"
"Co","Cl","Hhfac,Hacac","","1"
"CoO","Hhfac","","","1"
"CuO","Hhfac","","","1"
"FeO","Cl","Hacac","","1"
"GaO","HF","BCl,DMAC,TMA,TiCl,Ga[N(CH3)3]4","","1"
"GaN","XeF","BCl","","1"
"Ge","Cl","Thermalcycling","","1"
"HfO2","HF","Sn(acac)","","2"
"HfO2","HF","Sn(acac),TMA,DMAC","","1"
"HfO2","HF","DMAC","","2"
"HfO2","HF","TiCl4","","1"
"HfO2","HF,DFT study of fluorination reaction","","","1"
"HfZrO","HF","DMAC,TiCl","XeF,SF","2"
"InGaAs","HF","DMAC","","2"
"InAlAs","HF","DMAC","","1"
"InGaZnO","HF","DMAC","","1"
"MoO3","BCl","HF","","1"
"NiO","H+hfac","","","1"
"Si","ClF,BrF,BrF,IF","HF","","1"
"Si","Cl","Thermalcycling","","1"
"SiO","TMA","HF","","1"
"SiO","CHF","TMA","","1"
"Si3N4","O,HF","TMA","","1"
"TiN","O,HF","","","1"
"TiN","CHF/O downstream plasma","Thermalcycling","","1"
"TiO","WF","BCl","","1"
"VO","HF,SF","Sn(acac)","","1"
"WO3","BCl","HF","","1"
"WO3","WF","XeF","","1"
"WO3","WCl","","","1"
"ZnO","Hacac","O plasma","","1"
"ZnO","HF","TMA","","1"
"ZrO","HF","Sn(acac),TMA,DMAC","","1"
"ZrO","HF","DMAC","","1"
"ZrO","HF,DFT study of fluorination reaction","","","1"
"ZrO","HF","DMAC,TiCl","XeF,SF","1"
