idx,raw_ref,best_doi,best_title,best_container_title,best_year,best_volume,best_page,best_article_number,score,decision
1,"[1] J. Coburn, H. F. Winters, and T. J. Chuang, J. Appl. Phys. 48, 3532 (1977).",10.1063/1.324150,Ion-surface interactions in plasma etching,Journal of Applied Physics,1977,48,3532-3540,,100,accepted
2,"[2] H. F. Winters and J. W. Coburn, Surf. Sci. Rep. 14, 162 (1992).",10.1016/0167-5729(92)90009-z,Surface science aspects of etching reactions,Surface Science Reports,1992,14,162-269,,95,accepted
3,"[3] F. Palumbo, C. Wen, S. Lombardo, S. Pazos, F. Aguirre, M. Eizenberg, F. Hui, and M. Lanza, Adv. Funct. Mater. 30, 1900657 (2020).",10.1002/adfm.202070117,Research at GTIIT: The Birth of Guangdong Technion–Israel Institute of Technology: Innovative and Sophisticated Education and Research in China (Adv. Funct. Mater. 18/2020),Advanced Functional Materials,2020,30,,2070117,70,accepted
4,"[4] V. M. Donnelly and A. Kornblit, J. Vac. Sci. Technol. A 31, 050825 (2013).",,,,,,,,,no_match
5,"[5] T. Faraz, F. Roozeboom, H. C. M. Knoops, and W. M. M. Kessels, ECS J. Solid State Sci. Technol. 4, N5023 (2015).",10.1149/2.0051506jss,Atomic Layer Etching: What Can We Learn from Atomic Layer Deposition?,ECS Journal of Solid State Science and Technology,2015,4,N5023-N5032,,100,accepted
6,"[6] K. J. Kanarik, T. Lill, E. A. Hudson, S. Sriraman, S. Tan, J. Marks, V. Vahedi, and R. A. Gottscho, J. Vac. Sci. Technol. A 33, 020802 (2015).",,,,,,,,,no_match
7,"[7] G. Oehrlein, D. Metzler, and C. Li, ECS J. Solid State Sci. Technol. 4, N5041 (2015).",10.1149/2.0061506jss,Atomic Layer Etching at the Tipping Point: An Overview,ECS Journal of Solid State Science and Technology,2015,4,N5041-N5053,,100,accepted
8,"[8] Y. Kim, S. Lee, Y. Cho, S. Kim, and H. Chae, J. Vac. Sci. Technol. A 38, 022606 (2020).",10.1116/1.5134710,,,,,,,,accepted
9,"[9] J. Kim, H. Kang, Y. Kim, M. Jeon, and H. Chae, Plasma Processes Polym. e2300216 (2024).",,,,,,,,,no_match
10,"[10] S. K. Sung, T. Y. Kim, E. S. Cho, H. J. Cho, B. Y. Choi, C. W. Oh, B. K. Cho, C. H. Lee, and D. Park, IEEE Trans. Nanotechnol. 5, 174 (2006).",10.1109/tnano.2006.869954,Fully integrated SONOS flash memory cell array with BT (body tied)-FinFET structure,IEEE Transactions On Nanotechnology,2006,5,174-179,,90,accepted
11,"[11] H. Yun, T. Kim, C. B. Shin, C. -K. Kim, J. -H. Min, and S. H. Moon, Korean J. Chem. Eng. 24, 670 (2007).",10.1007/s11814-007-0023-9,Comparison of atomic scale etching of poly-Si in inductively coupled Ar and He plasmas,Korean Journal of Chemical Engineering,2007,24,670-673,,100,accepted
12,"[12] N. R. Johnson and S. M. George, ACS Appl. Mater. Interfaces 9, 34435 (2017).",,,,,,,,,no_match
13,"[13] J. Kim, D. Shim, Y. Kim, and H. Chae, J. Vac. Sci. Technol. A 40, 032603 (2022).",,,,,,,,,no_match
14,"[14] Y. Lee, Y. Kim, J. Son, and H. Chae, J. Vac. Sci. Technol. A 40, 022602 (2022).",,,,,,,,,no_match
15,"[15] D. Shim, J. Kim, Y. Kim, and H. Chae, J. Vac. Sci. Technol. B 40, 022208 (2022).",,,,,,,,,no_match
