orkg:P183144,orkg:P183145,orkg:P183146,orkg:P183147,paper:doi,paper:research_field
resource:Al2O3,resource:HF,resource:TMA,resource:<NA>,10.1021/acs.jpcc.9b00124,R254
resource:Al2O3,resource:HF,"resource:TMA,DMAC",resource:<NA>,10.1021/acs.jpcc.9b06104,R254
resource:Al2O3,resource:HF,resource:TMA,resource:<NA>,10.1063/1.4973310,R254
resource:Al2O3,resource:HF,resource:DMAC,resource:<NA>,10.3390/sci2020033,R254
resource:Al2O3,resource:HF,resource:DMAC,resource:<NA>,10.3390/sci2020031,R254
resource:Al2O3,resource:HF,resource:TMA,resource:<NA>,10.1021/acsnano.6b02991,R254
resource:Al2O3,"resource:HF,SF4",resource:Sn(acac)2,resource:<NA>,10.1021/acs.chemmater.8b05294,R254
resource:Al2O3,resource:HF,resource:TMA,resource:<NA>,10.1116/1.4986945,R254
resource:Al2O3,resource:HF,resource:Sn(acac)2,resource:<NA>,10.1021/nn507277f,R254
resource:Al2O3,resource:HF,resource:Sn(acac)2,resource:<NA>,10.1021/acs.chemmater.5b00300,R254
resource:Al2O3,resource:HF,"resource:Sn(acac)2,TMA,DMAC,SiCl4",resource:<NA>,10.1021/acs.chemmater.6b02543,R254
resource:Al2O3,resource:HF,resource:TMA,resource:<NA>,10.1021/acs.chemmater.6b00111,R254
resource:Al2O3,resource:HF,resource:DMAC,resource:<NA>,10.1021/acs.jpcc.9b04767,R254
resource:Al2O3,resource:CHF3,resource:TMA,resource:<NA>,10.1021/acsami.8b10899,R254
resource:Al2O3,resource:HF,resource:TMA,resource:<NA>,10.5040/9781350907720,R254
resource:Al2O3,"resource:HF,DFTstudyoffluorinationreaction",resource:TMA,resource:<NA>,10.1021/acs.chemmater.8b01930,R254
resource:AlF3,resource:HF,resource:Sn(acac)2,resource:<NA>,10.1021/acs.jpcc.5b07236,R254
resource:AlN,resource:HF,resource:Sn(acac)2,resource:<NA>,10.1116/1.4959779,R254
resource:Co,resource:Cl2,"resource:Hhfac,Hacac",resource:<NA>,10.3390/sci1020046,R254
resource:Co,resource:O2,resource:Hhfac,resource:<NA>,10.3390/sci1010001,R254
resource:Cu,resource:O3,resource:Hhfac,resource:<NA>,10.1149/2.0211809jss,R254
resource:Fe,resource:Cl2,resource:Hacac,resource:<NA>,10.3390/sci1010001,R254
resource:Ga2O3,resource:HF,"resource:BCl3,DMAC,TMA,TiCl4,Ga[N(CH3)2]3",resource:<NA>,10.1021/acs.chemmater.0c00131,R254
resource:GaN,resource:XeF2,resource:BCl3,resource:<NA>,10.1063/1.5095938,R254
resource:Ge,resource:Cl2,resource:Thermalcycling,resource:<NA>,10.1016/S0169-4332(96)00995-6,R254
resource:HfO2,resource:HF,resource:Sn(acac)2,resource:<NA>,10.1149/2.0041506jss,R254
resource:HfO2,resource:HF,"resource:Sn(acac)2,TMA,DMAC,SiCl4",resource:<NA>,10.1021/acs.chemmater.6b02543,R254
resource:HfO2,resource:HF,resource:TiCl4,resource:<NA>,10.1116/1.5045130,R254
resource:HfO2,resource:HF,resource:DMAC,resource:<NA>,10.1021/acs.jpcc.9b04767,R254
resource:HfO2,"resource:HF,DFTstudyoffluorinationreaction",resource:DMAC,resource:<NA>,10.1016/j.chempr.2020.01.004,R254
resource:HfO2,resource:HF,"resource:DMAC,TiCl4",resource:<NA>,10.1109/VLSI-TSA.2019.8804645,R254
resource:HfO2,"resource:HF,XeF2,SF4","resource:DMAC,TiCl4",resource:<NA>,10.1116/1.5135317,R254
resource:HfZrO2,resource:HF,"resource:DMAC,TiCl4",resource:<NA>,10.1109/VLSI-TSA.2019.8804645,R254
resource:HfZrO2,"resource:HF,XeF2,SF4","resource:DMAC,TiCl4",resource:<NA>,10.1116/1.5135317,R254
resource:InAlAs,resource:HF,resource:DMAC,resource:<NA>,10.1021/acs.nanolett.9b01525,R254
resource:InGaAs,resource:HF,resource:DMAC,resource:<NA>,10.1021/acs.nanolett.9b01525,R254
resource:Ni,resource:O2,resource:Hhfac,resource:<NA>,10.3390/sci2040075,R254
resource:Si,resource:O2,resource:HF,resource:TMA,10.1021/acs.chemmater.8b02745,R254
resource:Si,"resource:ClF3,BrF3,BrF5,IF5",resource:HF,resource:TMA,10.1063/1.333834,R254
resource:Si,resource:Cl2,resource:Thermalcycling,resource:TMA,10.1143/JJAP.34.5049,R254
resource:Si3N4,"resource:O2,O3",resource:HF,resource:TMA,10.1116/1.5140481,R254
resource:SiO2,resource:TMA,resource:HF,resource:TMA,10.1021/acsami.7b01259,R254
resource:SiO2,resource:CHF3,resource:TMA,resource:TMA,10.1021/acsami.8b10899,R254
resource:TiN,resource:O3,resource:HF,resource:TMA,10.1021/acs.chemmater.7b02286,R254
resource:TiN,resource:CHF3/O2downstream plasma,resource:Thermalcycling,resource:TMA,10.1088/1361-6463/ab3cf3,R254
resource:TiO2,resource:WF6,resource:BCl3,resource:TMA,10.1021/acs.chemmater.7b00985,R254
resource:TiO2,resource:WF6,resource:BCl3,resource:TMA,10.1088/1361-6463/ab3cf3,R254
resource:VO2,"resource:HF,SF4",resource:Sn(acac)2,resource:TMA,10.1021/acs.chemmater.8b05294,R254
