"Title","material","direction","reaction","removal","process temp. (°c)","epc (ã/cycle)","time of cycle"
"Directional etch of magnetic and noble metals. II. Organic chemical vapor etch - Contribution","Co","Anisotropy","O2","Formic acid","80","28","350 sec"
"Thermoelectric Materials—Strategies for Improving Device Performance and Its Medical Applications - Contribution","Co","Isotropy","Cl2","hfacH","140","2","95 sec"
"Directional etch of magnetic and noble metals. II. Organic chemical vapor etch - Contribution","Fe","Anisotropy","O2","Formic acid","80","42","350 sec"
"Directional etch of magnetic and noble metals. II. Organic chemical vapor etch - Contribution","Pd","Anisotropy","O2","Formic acid","80","12","350 sec"
"Directional etch of magnetic and noble metals. II. Organic chemical vapor etch - Contribution","Pt","Anisotropy","O2","Formic acid","80","5","350 sec"
"Atomic layer etching of chrome using ion beams - Contribution","Cr","Anisotropy","O2","Cl2","","1.1","40 sec"
"Thermally Driven Self-Limiting Atomic Layer Etching of Metallic Tungsten Using WF<sub>6</sub> and O<sub>2</sub> - Contribution","W","Isotropy","O2","WF6","300","6.3","320 sec"
"WO<sub>3</sub> and W Thermal Atomic Layer Etching Using “Conversion-Fluorination” and “Oxidation-Conversion-Fluorination” Mechanisms - Contribution","W","Isotropy","O2/O3","BCl3→HF","207","2.5","325 sec"
"Anisotropic atomic layer etching of W using fluorine radicals/oxygen ion beam - Contribution","W","Anisotropy","NF3","O2","","2.6","40 sec"
"Predicting synergy in atomic layer etching - Contribution","W","Anisotropy","Cl2","Ar","60","2.1","25 sec"
"Thermal Atomic Layer Etching of Copper by Sequential Steps Involving Oxidation and Exposure to Hexafluoroacetylacetone - Contribution","Cu","Isotropy","O2","Hfac","275","0.9","11 min"
"Atomic layer etching of Cu film using gas cluster ion beam - Contribution","Cu","Anisotropy","Acetic acid","O2-GCIB","","0.7","92 sec"
"Thermal Atomic Layer Etching of Titanium Nitride Using Sequential, Self-Limiting Reactions: Oxidation to TiO<sub>2</sub> and Fluorination to Volatile TiF<sub>4</sub> - Contribution","TiN","Isotropy","O3","HF","250","0.15","64 sec"
"Thermal atomic layer etching of crystalline aluminum nitride using sequential, self-limiting hydrogen fluoride and Sn(acac)2 reactions and enhancement by H2 and Ar plasmas - Contribution","AlN","Isotropy","HF","Sn(acac)2","275","0.36","280 sec"
