"Title","material","surface adsorption","surface removal","epc (ã/cycle)","etching temperature"
"Atomic Layer Etching of Al<sub>2</sub>O<sub>3</sub> Using Sequential, Self-Limiting Thermal Reactions with Sn(acac)<sub>2</sub> and Hydrogen Fluoride - Contribution","Al2O3","HF","Sn(acac)2","0.61","250 °C"
"Trimethylaluminum as the Metal Precursor for the Atomic Layer Etching of Al<sub>2</sub>O<sub>3</sub> Using Sequential, Self-Limiting Thermal Reactions - Contribution","Al2O3","HF","TMA","0.14/0.75","250/325 °C"
"Atomic Layer Etching of HfO<sub>2</sub>Using Sequential, Self-Limiting Thermal Reactions with Sn(acac)<sub>2</sub>and HF - Contribution","HfO2","HF","Sn(acac)2","0.117","250 °C"
"Selectivity in Thermal Atomic Layer Etching Using Sequential, Self-Limiting Fluorination and Ligand-Exchange Reactions - Contribution","HfO2","HF","Al(CH3)2Cl","0.77","250 °C"
"Selectivity in Thermal Atomic Layer Etching Using Sequential, Self-Limiting Fluorination and Ligand-Exchange Reactions - Contribution","ZrO2","HF","SiCl4/Sn(acac)2","0.14","350 °C/200 °C"
"Selectivity in Thermal Atomic Layer Etching Using Sequential, Self-Limiting Fluorination and Ligand-Exchange Reactions - Contribution","ZrO2","HF","Al(CH3)2Cl","0.117","250 °C"
"Thermal Atomic Layer Etching of ZnO by a “Conversion-Etch” Mechanism Using Sequential Exposures of Hydrogen Fluoride and Trimethylaluminum - Contribution","ZnO","HF","TMA","2.19","295 °C"
"Thermal Selective Vapor Etching of TiO<sub>2</sub>: Chemical Vapor Etching via WF<sub>6</sub> and Self-Limiting Atomic Layer Etching Using WF<sub>6</sub> and BCl<sub>3</sub> - Contribution","TiO2","WF6","BCl3","0.6-0.7","170 °C"
"Thermal Atomic Layer Etching of SiO<sub>2</sub> by a “Conversion-Etch” Mechanism Using Sequential Reactions of Trimethylaluminum and Hydrogen Fluoride - Contribution","SiO2","HF","TMA","0.31","300 °C"
"WO<sub>3</sub> and W Thermal Atomic Layer Etching Using “Conversion-Fluorination” and “Oxidation-Conversion-Fluorination” Mechanisms - Contribution","WO3","BCl3","HF","4.19","207 °C"
"WO<sub>3</sub> and W Thermal Atomic Layer Etching Using “Conversion-Fluorination” and “Oxidation-Conversion-Fluorination” Mechanisms - Contribution","W","O3/BCl3","HF","2.5","207 °C"
"Thermally Driven Self-Limiting Atomic Layer Etching of Metallic Tungsten Using WF<sub>6</sub> and O<sub>2</sub> - Contribution","W","O2","WF6","6.3","300 °C"
"Thermal Atomic Layer Etching of Titanium Nitride Using Sequential, Self-Limiting Reactions: Oxidation to TiO<sub>2</sub> and Fluorination to Volatile TiF<sub>4</sub> - Contribution","TiN","O3","HF","0.2","250 °C"
"Thermal atomic layer etching of crystalline aluminum nitride using sequential, self-limiting hydrogen fluoride and Sn(acac)2 reactions and enhancement by H2 and Ar plasmas - Contribution","AlN","HF","Sn(acac)2","0.36","250 °C"
"Thermal atomic layer etching of crystalline aluminum nitride using sequential, self-limiting hydrogen fluoride and Sn(acac)2 reactions and enhancement by H2 and Ar plasmas - Contribution","AlN","HF","Sn(acac)2/H2plasma","1.96","250 °C"
"Atomic Layer Etching of AlF<sub>3</sub> Using Sequential, Self-Limiting Thermal Reactions with Sn(acac)<sub>2</sub> and Hydrogen Fluoride - Contribution","AlF3","HF","Sn(acac)2","0.069/0.63","150/250 °C"
