"Title","phosphor material","emission color","ald scheme (precursors)","deposition temperature [°c]","coating material","optimal coating thickness [nm]","research problem"
"Improvement of Luminescent Properties of Phosphor Powders Coated with Nanoscaled SiO&lt;sub&gt;2&lt;/sub&gt; by Atomic Layer Deposition - Contribution 1","BaMgAl10O17:Eu2+","blue","TEOS/H2O","RT","SiO2","14 (200c)","Optimizing ALD coatings for phosphor stability and performance across materials, precursors, temperatures, and thicknesses"
"Atomic Layer Deposition of Aluminum Oxide Thin Film on BaMgAl<sub>10</sub>O<sub>17</sub>:Eu<sup>2+</sup>Phosphor - Contribution 1","BaMgAl10O17:Eu2+","blue","TMA/H2O","350","Al2O3","(500c)","Optimizing ALD coatings for phosphor stability and performance across materials, precursors, temperatures, and thicknesses"
"Study on the Photocatalytic Reaction of TiO2 ALD-Coated Phosphor Particles - Contribution 1","CaAl2O4:Eu2+,Nd3+","blue","TiCl4/H2O","240","TiO2","","Optimizing ALD coatings for phosphor stability and performance across materials, precursors, temperatures, and thicknesses"
"Luminescent properties of BaMgAl10O17:Eu2+ blue phosphor grown with SiO2 using atomic layer deposition - Contribution 1","BaMgAl10O17:Eu2+","blue","TEOS/H2O","70","SiO2","20 (300c)","Optimizing ALD coatings for phosphor stability and performance across materials, precursors, temperatures, and thicknesses"
"ALD Applied to Conformal Coating of Nanoporous γ-Alumina: Spinel Formation and Luminescence Induced by Europium Doping - Contribution 1","ZnAl2O4:Eu2+","red","DEZ/H2O","175","ZnO","","Optimizing ALD coatings for phosphor stability and performance across materials, precursors, temperatures, and thicknesses"
"Atomic Layer Deposition of MgO Nanofilms on BaMgAl<sub>10</sub>O<sub>17</sub>:Eu<sup>2+</sup>Blue Phosphors - Contribution 1","BaMgAl10O17:Eu2+","blue","Mg(CpEt)2/H2O","120","MgO","12 (400c)","Optimizing ALD coatings for phosphor stability and performance across materials, precursors, temperatures, and thicknesses"
"Photocatalytic effects for the TiO2-coated phosphor materials - Contribution 1","Nd3+, CaAl2O4:Eu2+","blue-green","TTIP/H2O","270","TiO2","","Optimizing ALD coatings for phosphor stability and performance across materials, precursors, temperatures, and thicknesses"
"Photocatalytic effects for the TiO2-coated phosphor materials - Contribution 2","CaAl2O4:Eu2+","blue-green","TMA/H2O","270","Al2O3","","Optimizing ALD coatings for phosphor stability and performance across materials, precursors, temperatures, and thicknesses"
"ALD Applied to Conformal Coating of Nanoporous γ-Alumina: Spinel Formation and Luminescence Induced by Europium Doping - Contribution 2","ZnAl2O4:Eu2+","red","DEZ/H2O","175","ZnO","","Optimizing ALD coatings for phosphor stability and performance across materials, precursors, temperatures, and thicknesses"
"Synthesis and protective properties of titanium nitride coatings on willemite - Contribution 1","Zn2SiO4:Mn2+","green","TiCl4/NH3","340–420","TiN","(1c)","Optimizing ALD coatings for phosphor stability and performance across materials, precursors, temperatures, and thicknesses"
"Performance improvement by alumina coatings on Y<sub>3</sub>Al<sub>5</sub>O<sub>12</sub>:Ce<sup>3+</sup> phosphor powder deposited using atomic layer deposition in a fluidized bed reactor - Contribution 1","Y3Al5O12:Ce3+","yellow","TMA/O2","25","Al2O3","2 (15c)","Optimizing ALD coatings for phosphor stability and performance across materials, precursors, temperatures, and thicknesses"
