"host","n_apps","application","dopant"
"ZnS","1","Luminescence","Tb"
"CaS","1","Luminescence","Tb,Ce,Eu"
"SrS","1","Luminescence","Tb,Ce"
"AlO","2","Waveguides,Luminescence","Er,Yb,(Er,Yb)"
"YO","2","Luminescence","Er,Eu"
"YGaO","1","Luminescence","Er"
"ZrO","2","Electrolyte,Interphase","Y,La,Dy"
"HfO","2","Gatedielectrics,Memory","Y,La,Pr,Gd,Er,Dy"
"HfO/ZrO","1","Memory","Y,La,Gd"
"GaO","1","Luminescence","Nd,Er"
"GeO","1","Luminescence","Er"
"YbO","1","Luminescence","Er"
"TiO","1","Magnetics,Luminescence","La,Pr,Nd,Sm,Eu,Tb,Dy,Ho,Er,Tm,Yb"
"YbTiO","1","Luminescence","La,Pr,Nd,Sm,Eu,Tb,Dy,Ho,Er,Tm"
"YDC","1","Electrolyte","Y"
"SrTiO","1","Gatedielectrics","La"
"YO S","1","Luminescence","Eu"
"YVO","1","Thermometry","Nd,Sm,Eu,Tb,Dy,Ho,Er,Tm,Yb"
"GdGaO","1","Luminescence","Er"
"YbAlO","1","Luminescence","Er"
"LuAlO","1","Luminescence","Er"
"ZnGaO","1","Luminescence","Er"
"SrSnO","1","Optoelectronics","La"
