orkg:P9071,orkg:P180042,orkg:P180043,orkg:P180044,orkg:P180045,orkg:P180041,orkg:P180013,paper:doi,paper:research_field
resource:Sc2O3,resource:Sc(thd)3,resource:O3,,,0.13,335-375,10.1021/cm011138z,R254
resource:Sc2O3,resource:Sc(Cp)3,resource:H2O,,,0.75,250-350,10.1021/cm011138z,R254
resource:Sc2O3,resource:Sc(iPrCp)3,resource:O3,,,0.60-1.00,250-375,10.1149/1.3122114,R254
resource:Sc2O3,resource:Sc(iPr2amd)3,resource:H2O,,,0.3,290,10.1149/1.2191131,R254
resource:Sc2O3,resource:Sc(MeCp)3,resource:H2O,,,0.65,300,10.1149/2.0021411jss,R254
resource:Sc2O3,resource:Sc(MeCp)3,resource:H2O,,,0.65,300,10.1021/cm403390j,R254
resource:Sc2O3,resource:Sc(MeCp)3,resource:H2O,,,0.65,300,10.1016/j.apsusc.2019.01.288,R254
resource:Sc2O3,resource:Sc(Me2pz)(MeCp)2,resource:O3,,,1.09-1.94,"225,275",10.1116/1.5059695,R254
resource:ScAlO3,resource:Sc(MeCp)3,resource:TMA,resource:H2O,,0.65,300,10.1002/pssa.201330080,R254
resource:YScO3,resource:Y(thd)3,resource:Sc(thd)3,resource:O3,,0.18,335-350,10.1039/b514083h,R254
resource:YScO3,resource:Y(MeCp)3,resource:Cp3Sc,resource:H2O,,1.07,300,10.1039/b514083h,R254
resource:DyScO3,resource:Sc(thd)3,resource:Dy(thd)3,resource:O3,,0.43,350,10.1116/1.3533765,R254
resource:Y2O3,resource:Y(thd)3,resource:O3,,,0.22-0.23,250-300,10.1002/cvde.200306266,R254
resource:Y2O3,resource:Y(thd)3,resource:O3,,,0.22-0.23,250-300,10.1002/amo.860040602,R254
resource:Y2O3,resource:Y(thd)3,resource:O3,,,0.22-0.23,250-300,10.1063/1.2061347,R254
resource:Y2O3,resource:Y(thd)3,resource:O3,,,0.22-0.23,250-300,10.1063/1.2748629,R254
resource:Y2O3,resource:Y(thd)3,resource:O3,,,0.22-0.23,250-300,10.1016/s0167-9317(01)00667-0,R254
resource:Y2O3,resource:Y(thd)3,resource:O3,,,0.22-0.23,250-300,10.1002/1521-3862(200101)7:1<44::aid-cvde44>3.0.co;2-q,R254
resource:Y2O3,resource:Y(thd)3,resource:O3,,,0.22-0.23,250-300,10.1016/j.aca.2004.11.073,R254
resource:Y2O3,resource:Y(thd)3,resource:O3,,,0.22-0.23,250-300,10.3390/nano13050849,R254
resource:Y2O3,resource:Y(thd)3,orkg:R1470364,,,0.3,200-300,10.1063/1.2214299,R254
resource:Y2O3,resource:Y(thd)3,orkg:R1470364,,,0.3,200-300,10.1063/1.2349477,R254
resource:Y2O3,resource:Y(thd)3,orkg:R1470364,,,0.3,200-300,10.1016/j.susc.2005.08.019,R254
resource:Y2O3,resource:Y(Cp)3,resource:H2O,,,1.20-1.30,200-400,10.1021/cm040145v,R254
resource:Y2O3,resource:Y(MeCp)3,resource:H2O,,,1,250-325,10.1021/cm040145v,R254
resource:Y2O3,resource:Y(EtCp)3,resource:H2O,,,1.7,200-400,10.1149/1.3122114,R254
resource:Y2O3,resource:Y(EtCp)3,resource:H2O,,,1.7,200-400,10.1149/1.2929825,R254
resource:Y2O3,resource:Y(iPr2amd)3,resource:H2O,,,0.8,150-280,10.1021/cm050624+,R254
resource:Y2O3,resource:Y(iPrCp)3,resource:O3,,,1.7,245-300,10.1149/ma2012-02/28/2467,R254
resource:Y2O3,resource:Y(iPr2amd)(EtCp)2,resource:H2O,,,1.1,300-450,10.3390/coatings11050497,R254
resource:Y2O3,resource:Y(iPr2amd)(EtCp)2,resource:O3,,,1.1,300-450,10.3390/coatings11050497,R254
resource:Y2O3,resource:Y(iPr2amd)(EtCp)2,resource:O2,,,0.9,300-450,10.3390/coatings11050497,R254
resource:Y2O3,resource:Y(iPr2amd)(iPrCp)2,resource:H2O,,,"0.40, 1.30",350-450,10.1016/j.apsusc.2014.01.032,R254
resource:Y2O3,resource:Y(iPr2amd)(iPrCp)2,resource:H2O,,,"0.40, 1.30",350-450,10.1021/acs.chemmater.6b01869,R254
resource:Y2O3,resource:Y(iPr2amd)(iPrCp)2,resource:H2O,,,"0.40, 1.30",350-450,10.1039/c4tc01405g,R254
resource:Y2O3,resource:Y(iPr2amd)(iPrCp)2,resource:O3,,,_,350,10.1021/acs.chemmater.6b01869,R254
resource:Y2O3,resource:Y(dpdmg)3,resource:H2O,,,1.1,175-250,10.1039/c7ra13417g,R254
resource:Y2O3,resource:Y(BuCp)3,resource:H2O,,,1.40-1.70,230,10.1134/s1063739719010025,R254
resource:Y2O3,resource:Y(iPr2famd)3,resource:H2O,,,1.36,150-325,10.1039/d0ra09876k,R254
resource:Y2O3,resource:Y(tBu2famd)3,resource:H2O,,,0.67,200-325,10.1039/d1dt01634b,R254
resource:Y2O3,resource:Y(tBuCp)3,resource:H2O,,,1.7,250,10.1039/d3ra05217f,R254
resource:YMnO3,resource:Y(thd)3,resource:Mn(thd)3,resource:O3,,0.18-0.60,250-300,10.1021/cm9020172,R254
resource:YMnO3,resource:Y(thd)3,resource:Mn(thd)3,resource:O3,,0.18-0.60,250-300,10.1021/cm103480d,R254
resource:YMnO3,resource:Y(thd)3,resource:Mn(thd)3,resource:O2,,0.25-0.30,250,10.1016/j.jmmm.2019.166146,R254
resource:YVO4,resource:Y(thd)3,resource:VO(thd)2,resource:O3,,0.15-0.17,260-300,10.1039/c7tc02135f,R254
resource:Y3Ga5O12,resource:Y(thd)3,resource:Et3Ga,resource:O3,,0.23,350,10.1039/d2nr03118c,R254
resource:Y2O2S,resource:Y(thd)3,resource:H2S,,,_,350-450,10.4028/www.scientific.net/msf.315-317.216,R254
resource:Y2O3-xSx,resource:Y(MeCp)3,resource:H2O,resource:H2S,,_,3 0 0,10.3390/electronicmat2010001,R254
resource:YF3,resource:Y(thd)3,resource:TiF4,,,1.10-1.70,225-325,10.1002/cvde.200806721,R254
resource:La2O3,resource:La(thd)3,resource:O3,,,0.36,180-425,10.1016/s0169-4332(01)00149-0,R254
resource:La2O3,resource:La(thd)3,resource:O3,,,0.36,180-425,10.1023/a:1023083725880,R254
resource:La2O3,resource:La(thd)3,resource:O3,,,0.36,180-425,10.1116/1.3079632,R254
resource:La2O3,resource:La(thd)3,resource:O3,,,0.36,180-425,10.1021/acscatal.2c02599,R254
resource:La2O3,resource:La(thd)3,resource:H2O,,,0.30-0.50,230-350,10.1016/j.tsf.2006.01.008,R254
resource:La2O3,resource:La(thd)3-DEMA,resource:O3,,,0.4,225-250,10.3390/coatings13050870,R254
resource:La2O3,resource:La(iPrCp)3,resource:H2O,,,0.1,280-480,10.1149/1.2960995,R254
resource:La2O3,resource:La(iPrCp)3,resource:H2O,,,0.1,280-480,10.1016/j.tsf.2010.07.108,R254
resource:La2O3,resource:La(iPrCp)3,resource:H2O,,,0.1,280-480,10.1116/1.4737618,R254
resource:La2O3,resource:La(iPrCp)3,resource:O3,,,0.30-0.60,150-250,10.1149/1.3122114,R254
resource:La2O3,resource:La(iPrCp)3,resource:O3,,,0.30-0.60,150-250,10.1149/1.2901915,R254
resource:La2O3,resource:La(iPrCp)3,orkg:R1470364,,,0.6,300-350,10.1016/j.tsf.2010.07.108,R254
resource:La2O3,resource:La(iPrCp)3,orkg:R1470364,,,0.6,300-350,10.3938/jkps.53.3334,R254
resource:La2O3,resource:La(iPrCp)3,orkg:R1470364,,,0.6,300-350,10.3938/jkps.55.590,R254
resource:La2O3,resource:La(iPrCp)3,orkg:R1470364,,,0.6,300-350,10.1149/1.3301665,R254
resource:La2O3,resource:La(iPrCp)3,orkg:R1470364,,,0.6,300-350,10.1557/jmr.2010.0245,R254
resource:La2O3,resource:La(iPrCp)3,orkg:R1470364,,,0.6,300-350,10.1007/s10854-023-10655-9,R254
resource:La2O3,resource:La(Cp)3,resource:H2O,,,_,260,10.1116/1.3079632,R254
resource:La2O3,resource:La(Cp)3,resource:H2O,,,_,260,10.1063/1.2779108,R254
resource:La2O3,resource:La(Cp)3,resource:H2O,,,_,260,10.1016/j.mee.2008.09.033,R254
resource:La2O3,resource:La(Cp)3,orkg:R1470364,,,0.5,150,10.1007/s00339-020-03684-2,R254
resource:La2O3,resource:La(tmsa)3,resource:H2O,,,0.43,200-300,10.1149/1.1724824,R254
resource:La2O3,resource:La(tmsa)3,resource:H2O,,,0.43,200-300,10.1116/1.1773840,R254
resource:La2O3,resource:La(tmsa)3,resource:H2O,,,0.43,200-300,10.1002/cvde.200506388,R254
resource:La2O3,resource:La(tmsa)3,resource:H2O,,,0.43,200-300,10.1016/j.matchemphys.2007.03.002,R254
resource:La2O3,resource:La(iPr2amd)3,resource:H2O,,,1.05,200-300,10.1021/jp900241r,R254
resource:La2O3,resource:[La(iPr2famd)3],resource:H2O,,,1.7,200-250,10.1016/j.mee.2009.03.056,R254
resource:La2O3,resource:La(iPr2famd)3,resource:O3,,,1.20-1.40,200-250,10.1016/j.mee.2009.03.056,R254
resource:La2O3,resource:La(iPr2famd)3,resource:O2,,,0.4,300,10.1016/j.apsusc.2010.03.049,R254
resource:La2O3,resource:La(iPr2amd)(iPrCp)2,resource:H2O,,,1.20-3.00,200-300,10.1016/j.tsf.2018.06.011,R254
resource:La2O3,resource:La(iPr2amd)(iPrCp)2,resource:O3,,,0.60-2.10,200-325,10.1016/j.tsf.2018.06.011,R254
resource:La2O3,resource:La(iPr2amd)(iPrCp)2,resource:H2O+O3,,,0.70-1.80,200-325,10.1016/j.tsf.2018.06.011,R254
resource:La2O3,resource:La(iPr2amd)(iPrCp)2,resource:EtOH,,,0.50-1.70,200-325,10.1016/j.tsf.2018.06.011,R254
resource:LaAlO3,resource:La(thd)3,resource:Al(acac)3,resource:O3,,0.36-0.39,325-400,10.1007/s003300000785,R254
resource:LaAlO3,resource:La(thd)3,resource:TMA,resource:H2O,,0.55,270,10.1063/1.2748100,R254
resource:LaAlO3,resource:La(thd)3,resource:TMA,resource:O3,,0.64,250,10.1016/j.tsf.2013.10.002,R254
resource:LaAlO3,resource:La(tmsa)3,resource:TMA,resource:H2O,,0.58,225-250,10.1002/cvde.200506388,R254
resource:LaAlO3,resource:La(iPr2amd)3,resource:TMA,resource:H2O,,0.8,300-330,10.1063/1.1739272,R254
resource:LaAlO3,resource:La(iPr2famd)3,resource:TMA,resource:H2O,,2.8,300-330,10.1149/1.2981628,R254
resource:LaAlO3,resource:La(iPrCp)3,resource:TMA,resource:H2O,,0.12,300,10.1007/s11664-012-1960-6,R254
resource:LaAlO3,resource:La(iPrCp)3,resource:TMA,resource:H2O,,0.12,300,10.1186/s11671-015-0883-6,R254
resource:LaAlO3,resource:LaAl(OiPr)6(iPrOH)]2,resource:H2O,,,0.10-0.50,160-300,10.1039/b609129f,R254
resource:LaNiO3,resource:La(thd)3,resource:Ni(thd)2,resource:O3,,0.08-0.26,215-400,10.1039/a606316k,R254
resource:LaNiO3,resource:La(thd)3,resource:Ni(acac)2,resource:O3,,0.31,225,10.1038/s41467-020-16654-2,R254
resource:LaNiO3,resource:La(thd)3,resource:Ni(acac)2,resource:O3,,0.31,225,10.1021/elv003i012_1542448,R254
resource:LaCoO3,resource:La(thd)3,resource:Co(thd)2,resource:O3,,0.35,200-400,10.1016/s0169-4332(96)01001-x,R254
resource:LaMnO3,resource:La(thd)3,resource:Mn(thd)2,resource:O3,,0.10-0.23,250-325,10.1039/a902957e,R254
resource:LaMnO3,resource:La(thd)3,resource:Mn(thd)2,resource:O3,,0.10-0.23,250-325,10.1021/cm103480d,R254
resource:LaGaO3,resource:La(thd)3,resource:Ga(acac)3,resource:O3,,0.38,325-400,10.1039/b105978p,R254
resource:LaFeO3,resource:La(thd)3,resource:Fe(thd)3,resource:O3,,0.20 -0.30,200-360,10.1039/b809974j,R254
resource:LaLuO3,resource:La(thd)3,resource:Lu(thd)3,resource:O3,,,300,10.1149/1.3074314,R254
resource:LaLuO3,resource:La(iPr2amd)3,resource:Lu(Etfamd)3,resource:H2O,,1.2,300,10.1149/1.3074314,R254
resource:LaScO3,resource:La(iPr2amd)3,resource:Sc(Etamd)3,resource:H2O,,1.1,300,10.1149/1.3074314,R254
resource:LaYO3,resource:La(iPr2amd)3,resource:Y(iPramd)3,resource:H2O,,0.8,280,10.1149/1.3074314,R254
resource:HfLaOx,resource:La(iPrCp)3,resource:TEMA-Hf,resource:H2O,,1.4,300,10.1149/1.2960995,R254
resource:HfLaOx,resource:La(iPrCp)3,resource:TEMA-Hf,resource:O3,,,225,10.1149/1.3122114,R254
resource:HfLaOx,resource:La(iPrCp)3,resource:TEMA-Hf,orkg:R1470364,,0.5,"225,300-350",10.3938/jkps.53.3334,R254
resource:HfLaOx,resource:La(iPr2famd)3,resource:TEMA-Hf,resource:O3,,_,265,10.1149/1.3481630,R254
resource:LiLaO2,resource:Li(thd),resource:La(thd)3,resource:O3,,0.20-0.30,225,10.1039/b913466b,R254
resource:LaWO4,resource:La(thd)3,resource:W(tBuN)2(Me2N)2,resource:O3,resource:H2O,0.48-0.58,250-375,10.1039/c4ta03359k,R254
resource:La2CuO4,resource:La(thd)3,resource:Cu(acac)2,resource:O3,,0.4,210-250,10.1021/acs.chemmater.7b05005,R254
resource:LaVO4,resource:La(thd)3,resource:VO(acac)2,,,_,270,10.1021/acs.jpcc.3c03240,R254
resource:LaxZr1-XO2-??,resource:La(iPrCp)3,resource:(MeCp)2ZrMe(OMe),resource:H2O,,_,300,10.1063/1.2784956,R254
resource:LaxZr1-XO2-??,resource:La(iPrCp)3,resource:(MeCp)2ZrMe(OMe),resource:H2O,,_,300,10.1063/1.3075609,R254
resource:LaxZr1-XO2-??,resource:La(thd)3,resource:(MeCp)2ZrMe(OMe),resource:O3,,_,300,10.1063/1.2971032,R254
resource:LaxZr1-XO2-??,resource:La(tmsa)3,resource:Zr[N(CH2CH3)]4,resource:H2O,,0.58-0.72,250,10.1149/ma2008-02/25/1944,R254
resource:Li0.32La0.30TiO2,resource:La(thd)3,resource:O3,resource:TiCl4/LiOtBu,resource:H2O,0.15-0.35,225,10.1039/b923490j,R254
resource:Li7La3Zr2O12,resource:LiOtBu,resource:[La(iPrFamd)3],resource:TDMAZ,resource:O3,0.8,225,10.1021/acs.chemmater.7b00944,R254
resource:La1-XSrxFeO3,resource:La(thd)3,resource:Sr(thd)2,resource:Fe(thd)3,resource:O3,0.20 -0.30,260,10.1039/b809974j,R254
resource:La1-XSrxMnO3,resource:La(MeCp)3,resource:Srn-PrMe4Cp2,resource:MnMeCp2,resource:H2O,5,300,10.1016/j.ssi.2007.12.100,R254
resource:La1-XCaxMnO3,resource:La(thd)3,resource:Ca(thd)2,resource:Mn(thd)3,resource:O3,0.15-0.40,235-285,10.1039/b616982a,R254
"resource:(La,Sr)CoO3???",resource:La(thd)3,resource:Sr(thd)2,resource:Co(acac)3,resource:O3,0.5,250-310,10.1039/c5dt00436e,R254
resource:La2?xSrxCuO4?y,resource:La(thd)3,resource:Cu(acac)2,resource:Sr(thd)2,resource:O3,0.4,225,10.1039/c8cc04998j,R254
resource:LaNixCu1-xO3,resource:La(thd)3,resource:Ni(acac)2,resource:Cu(acac)2,resource:O3,_,225,10.1039/d0tc03406a,R254
resource:LaF3,resource:La(thd)3,resource:TiF4,,,2.00-5.00,225-350,10.1002/cvde.200706681,R254
resource:LaF3,resource:La(thd)3,resource:O3,resource:Hfac,,0.49,250-300,10.1039/c1jm11825k,R254
resource:CeO2,resource:Ce(thd)4,resource:O3,,,0.32,175-375,10.3390/coatings13030491,R254
