idx,raw_ref,best_doi,best_title,best_container_title,best_year,best_volume,best_page,best_article_number,score,decision
1,"[1] Oehrlein G, Metzler D and Li C 2015 Atomic layer etching at the tipping point: an overview ECS J. Solid State Sci. Technol. 4 N5041–53",10.1149/2.0061506jss,Atomic Layer Etching at the Tipping Point: An Overview,ECS Journal of Solid State Science and Technology,2015,4,N5041-N5053,,20,low_confidence
2,[2] Carver C T et al 2015 Atomic layer etching: an industry perspective ECS J. Solid State Sci. Technol. 4 N5005–9,10.1002/chin.201512327,ChemInform Abstract: Chemistry of Lipid A: At the Heart of Innate Immunity,ChemInform,2015,46,,chin.201512327,15,low_confidence
3,"[3] Lee C G, Kanarik K J and Gottscho R A 2014 The grand challenges of plasma etching: a manufacturing perspective J. Phys. D: Appl. Phys. 47 273001",10.1088/0022-3727/47/27/273001,The grand challenges of plasma etching: a manufacturing perspective,Journal of Physics D: Applied Physics,2014,47,273001,,20,low_confidence
4,[4] Kanarik K J et al 2015 Overview of atomic layer etching in the semiconductor industry J. Vac. Sci. Technol. A 33 020802,10.1002/chin.201512327,ChemInform Abstract: Chemistry of Lipid A: At the Heart of Innate Immunity,ChemInform,2015,46,,chin.201512327,15,low_confidence
5,[5] Winters H F and Coburn J W 1992 Surface science aspects of etching reactions Surf. Sci. Rep. 14 162–269,10.1093/oso/9780192619198.003.0004,A theoretical study of epidural electrical stimulation of the spinal cord,Spinal Cord Dysfunction,1992,,62-92,,20,low_confidence
6,"[6] Lee Y and George S M 2017 Thermal atomic layer etching of titanium nitride using sequential, self-limiting reactions: oxidation to TiO2 and fluorination to volatile TiF4 Chem. Mater. 29 8202–10",10.12987/9780300212969-002,PREFACE,George I,2017,,9-10,,15,low_confidence
7,[7] Johnson N R and George S M 2017 WO3 and W thermal atomic layer etching using ‘Conversion-Fluorination’ and ‘Oxidation-Conversion-Fluorination’ mechanisms ACS Appl. Mater. Interfaces 9 34435–47,10.7712/120117.5417.16896,NUMERICAL SIMULATION OF THE PERFORMANCE OF A WIND TURBINE TOWER WHEN SUBJECTED TO WIND AND EARTHQUAKE FORCES,Proceedings of the 6th International Conference on Computational Methods in Structural Dynamics and Earthquake Engineering (COMPDYN 2015),2017,,220-233,,15,low_confidence
8,"[8] Johnson N R et al 2016 Thermal atomic layer etching of crystalline aluminum nitride using sequential, self-limiting hydrogen fluoride and Sn(acac)2 reactions and enhancement by H2 and Ar plasmas J. Vac. Sci. Technol. A 34 050603",10.15372/jsc20150531,STRUCTURE AND THERMAL PROPERTIES OF THE MOLYBDENUM COMPLEX Mo(acac)3,Журнал структурной химии,2016,56,,,15,low_confidence
9,[9] Fukumizu H et al 2019 Atomic layer etching of AlGaN using Cl2 and Ar gas chemistry and UV damage evaluation J. Vac. Sci. Technol. A 37 021002,10.33899/edusj.2019.161212,"Preparation and Characterization of Co(II), Ni(II),Cu(II) and Zn(II) Complexes with Unsymmetrical Tetradentate Schiff Bases Ligands",Journal of Education and Science,2019,28,233-248,,15,low_confidence
10,[10] Park S et al 2006 Atomic layer etching of InP using a low angle forward reflected Ne neutral beam Appl. Phys. Lett. 89 043109,10.1109/aiccsa.2006.205202,Arabic Search Engines Improvement: A New Approach using Search Key Expansion Derived from Arabic Synonyms Structure,"IEEE International Conference on Computer Systems and Applications, 2006.",2006,,944-951,,15,low_confidence
11,"[11] Marchack N and Chang J P 2012 Chemical processing of materials on silicon: more functionality, smaller features, and larger wafers Annu. Rev. Chem. Biomol. Eng. 3 235–62",10.1146/annurev-chembioeng-062011-080958,"Chemical Processing of Materials on Silicon: More Functionality, Smaller Features, and Larger Wafers",Annual Review of Chemical and Biomolecular Engineering,2012,3,235-262,,20,low_confidence
12,[12] George S M 2009 Atomic layer deposition: an overview Chem. Rev. 110 111–31,10.1080/00380237.2009.10571340,Forming a More Perfect Union: Racial Perceptions of Unity and Division in the United States,Sociological Focus,2009,42,1-19,,20,low_confidence
13,[13] Kim H et al 2002 Diffusion barrier properties of transition metal thin films grown by plasma-enhanced atomic-layer deposition J. Vac. Sci. Technol. B 20 1321–6,10.1046/j.1365-2230.2002.01088.x,Hereditary hypotrichosis simplex: report of a family,Clinical and Experimental Dermatology,2002,27,654-656,,15,low_confidence
14,[14] Ritala M et al 1999 Perfectly conformal TiN and Al2O3 films deposited by atomic layer deposition Chem. Vapor Depos. 5 7–9,10.1163/22138617-07902019,"L'āyat Allāh Al-'Uẓmà Al-Mar'Ašī Al-Nağafī, Massimo Genealogista Contemporaneo. Una Panoramica Sugli Studi di 'Ilm Al-Nasab",Oriente Moderno,1999,79,513-539,,15,low_confidence
15,[15] Gordon R G 2011 Overview of ALD precursors and reaction mechanisms (http://nrs.harvard.edu/urn-3:HUL. InstRepos:9639954),10.1142/8152,Embryogenesis Explained,,2011,,,,20,low_confidence
16,[16] Johnson N R et al 2019 Thermal atomic layer etching of crystalline GaN using sequential exposures of XeF2 and BCl3 Appl. Phys. Lett. 114 243103,10.33899/edusj.2019.161212,"Preparation and Characterization of Co(II), Ni(II),Cu(II) and Zn(II) Complexes with Unsymmetrical Tetradentate Schiff Bases Ligands",Journal of Education and Science,2019,28,233-248,,15,low_confidence
17,[17] Lu W et al 2019 In situ thermal atomic layer etching for sub-5 nm InGaAs multigate MOSFETs Nano Lett. 19 5159–66,10.33899/edusj.2019.161212,"Preparation and Characterization of Co(II), Ni(II),Cu(II) and Zn(II) Complexes with Unsymmetrical Tetradentate Schiff Bases Ligands",Journal of Education and Science,2019,28,233-248,,15,low_confidence
18,[18] Huard C M et al 2017 Atomic layer etching of 3D structures in silicon: self-limiting and nonideal reactions J. Vac. Sci. Technol. A 35 031306,10.21063/jte.2017.3133602,Perencanaan Wireless Sensor Network (WSN) pada Sistem Monitoring Suhu dan Kelembaban Kamar Jenazah Rumah Sakit M. Djamil Padang,Jurnal Teknik Elektro ITP,2017,6,9-19,,20,low_confidence
19,"[19] Sugiyama T, Matsuura T and Murota J 1997 Atomic-layer etching of Ge using an ultraclean ECR plasma Appl. Surf. Sci. 112 187–90",10.1016/s0169-4332(96)01026-4,Atomic-layer etching of Ge using an ultraclean ECR plasma,Applied Surface Science,1997,112,187-190,,20,low_confidence
20,[20] Aoyagi Y et al 1992 Molecular layer etching of GaAs Appl. Phys. Lett. 60 968–70,10.56656/100130.07,Classification of Andalusian and Maghribi books of Nawazl from the Middle of the fifth to the end of the Ninth century AH,"The Significance of Islamic Manuscripts PROCEEDINGS OF THE INAUGURAL CONFERENCE OF AL-FURQĀN ISLAMIC HERITAGE FOUNDATION, 30TH NOVEMBER - 1ST DECEMBER 1991 - ENGLISH VERSION",1992,,71-79,,15,low_confidence
