material,precursor,energy
Al2O3,BCl3,Arneutralbeam
Al2O3,BCl3,Arneutralbeam
BeO,BCl3,Arneutralbeam
III-V:GaAs,Cl2,Electronbombardment
III-V:GaAs,Cl2,low-energyAr+ions
III-V:GaAs,Cl2,248nmKrFexcimerlaserandTisapphirelaser
III-V:GaAs,Cl2/Arplasma,ArionsfromECRplasma
III-V:GaAs,Cl2/Arplasma,ArionsfromECRplasma
III-V:GaAs,Cl2,Neneutralbeam
III-V:InP,Tertiarybutylphosphine,Halogenlampdesorption
III-V:InP(andInAlAs,InGaAs),Cl2,Neneutralbeam
Ge,Cl2,ArionsfromECRplasma
Ge(andSi,SiGe),Cl2,ArionsfromECRplasma
Graphene,O2plasma,Arneutralbeam
Graphite,O2plasma,Arneutralbeam
HfO2,BCl3,Arneutralbeam
HfO2,Cl2,Arneutralbeam
Polymer(Polystyrene),O2,ArionsfromCCPplasma
Si,CF4 +O2plasma,ArionsfromECRplasma
Si,CF4/O2,NF3/N2,orF2/Heplasmas,ArionsfromECRplasma
Si,Cl2,ArionsfromECRplasma
Si,Cl2,ArionsfromECRplasma
Si,Cl2,50eVArions(MDsimulation)
Si,Cl2,Arionsfromhelicalresonatorplasma
Si,Cl2,Arionsfromheliconplasma
Si,Cl2,ArionsfromICPtypeiongun
Si,Cl2,Arneutralbeam
Si,Cl2,ArorHeionsfromICPsource
Si,Cl2/Arplasma,ArionsfromICPsource
Si,Cl2/Arplasma,ArionsfromICPsource
Si3N4,H2plasma,IonbombardmentfromAr/H2ECRplasma
Si3N4,IonimplantationfromH2plasma,Wetetching(aqueousHFsolution)
SiO2(andSi),CFx +ionsorradicaladsorption,Arions(MDsimulation)
SiO2,C4F8/Arplasma,IonbombardmentfromC4F8/ArICPplasma
SiO2,C4F8/Arplasma,Arionsfrommagneticallyenhancedplasma
SiO2,C4F8/Arplasma,ArionsfromICPsource
TiO2,BCl3,Arneutralbeam
ZrO2,BCl3,Arneutralbeam
