support_value,precursors_value,temp_num,thick_num,gpc_num_nm,gpc_class
lactose,TMA/H2O,30.0,11.0,0.47-0.73,average
lactose,TMA/H2O,30.0,11.0,0.47-0.73,average
lactose,TMA/O3,30.0,10.3,0.47-1.0,average
budesonide,TMA/H2O,40.0,2.0,0.2-0.33,slow
budesonide,TiCl4/H2O,40.0,15.0,0.3-0.32,n/a
budesonide,TiCl4/H2O,40.0,15.0,0.3-0.32,n/a
budesonide,TiCl4/H2O,40.0,15.0,0.3-0.32,n/a
budesonide,SiCl4/H2O,40.0,10.0,0.1-0.15,n/a
budesonide,SiCl4/H2O,40.0,10.0,0.1-0.15,n/a
budesonide,SiCl4/H2O,40.0,10.0,0.1-0.15,n/a
posaconazole/HPMCAS,TMA/H2O,35.0,12.0,0.4-1.0,average
myoglobin,TMA/H2O,30.0,8.3,0.21,slow
