support_value,precursors_value,temp_num,thick_num,gpc_num_nm,gpc_class
lactose,TMA/H2O,30,2.5-11.0,0.47-0.73,average
lactose,TMA/O3,30,3.8-10.3,0.47-1.00,average
lactose,TMA/H2O,40,0.8-2.0,0.20-0.33,slow
budesonide,TiCl4/H2O,40,3.0-15.0,0.30-0.32,slow
budesonide,SiCl4/H2O,40,1.5-10.0,0.10-0.15,slow
indomethacin,TMA/H2O,50,30.0-35.0,0.26-0.30,slow
HPV 16 L1 capsomer,TMA/H2O,70,40.0-59.9,0.16-0.24,slow
posaconazole/HPMCAS,TMA/H2O,35,12.0,0.40-1.00,average
5-aminosalicylic acid,TMA/H2O,120,38.0,0.13,slow
DEZ/H2O,120,24.7,0.12,slow
myoglobin,TMA/H2O,30,8.3,0.21,slow
