Material,Precursor 1,Precursor 2,Precursor 3,Precursor 4,GPC [Å],T [°C],Refs.
,La( iPr2 famd) 3,O 2,,,0.40,300,[246]
,La( iPr2 amd)( iPr Cp) 2,H 2 O,,,1.20-3.00,200-300,[116]
,La( iPr2 amd)( iPr Cp) 2,O 3,,,0.60-2.10,200-325,[116]
,La( iPr2 amd)( iPr Cp) 2,H 2 O+ O 3,,,0.70-1.80,200-325,[116]
,La( iPr2 amd)( iPr Cp) 2,EtOH,,,0.50-1.70,200-325,[116]
LaAlO 3,La(thd) 3,Al(acac) 3,O 3,,0.36-0.39,325-400,[247]
,La(thd) 3,TMA,H 2 O,,0.55,270,[248]
,La(thd) 3,TMA,O 3,,0.64,250,[249]
,La(tmsa) 3,TMA,H 2 O,,0.58,225-250,[244]
,La( iPr2 amd) 3,TMA,H 2 O,,0.80,300-330,[250]
,La( iPr2 famd) 3,TMA,H 2 O,,2.80,300-330,[251]
,La( iPr Cp) 3,TMA,H 2 O,,0.12,300,"[252,253]"
,LaAl(O iPr ) 6 ( iPr OH)] 2,H 2 O,,,0.10-0.50,160-300,[138]
LaNiO 3,La(thd) 3,Ni(thd) 2,O 3,,0.08-0.26,215-400,[60]
,La(thd) 3,Ni(acac) 2,O 3,,0.31,225,"[195,254]"
LaCoO 3,La(thd) 3,Co(thd) 2,O 3,,0.35,200-400,[188]
LaMnO 3,La(thd) 3,Mn(thd) 2,O 3,,0.10-0.23,250-325,"[196,221]"
LaGaO 3,La(thd) 3,Ga(acac) 3,O 3,,0.38,325-400,[197]
LaFeO 3,La(thd) 3,Fe(thd) 3,O 3,,0.20 -0.30,200-360,[200]
LaLuO 3,La(thd) 3,Lu(thd) 3,O 3,,,300,[33]
,La( iPr2 amd) 3,Lu( Et famd) 3,H 2 O,,1.20,300,[33]
LaScO 3,La( iPr2 amd) 3,Sc( Et amd) 3,H 2 O,,1.10,300,[33]
LaYO 3,La( iPr2 amd) 3,Y( iPr amd) 3,H 2 O,,0.80,280,[33]
HfLaO x,La( iPr Cp) 3,TEMA-Hf,H 2 O,,1.40,300,[229]
,La( iPr Cp) 3,TEMA-Hf,O 3,,NA,225,[207]
,La( iPr Cp) 3,TEMA-Hf,O 2 plasma,,0.50,"225,300-350",[234]
,La( iPr2 famd) 3,TEMA-Hf,O 3,,_,265,[255]
LiLaO 2,Li(thd),La(thd) 3,O 3,,0.20-0.30,225,[256]
LaWO 4,La(thd) 3,W( t Bu N) 2 (Me 2 N) 2,O 3,H 2 O,0.48-0.58,250-375,[198]
LaPO 4,La(thd) 3,TMPO,H 2 O,O 3,0.78,275,[257]
LaCaPO 4,La(thd) 3,Ca(thd) 2,TMPO,H 2 O /O 3,0.78,275,[257]
La 2 CuO 4,La(thd) 3,Cu(acac) 2,O 3,,0.40,210-250,[258]
LaVO 4,La(thd) 3,VO(acac) 2,,,_,270,[259]
La x Zr 1-X O 2-𝛿,La( iPr Cp) 3,( Me Cp) 2 ZrMe(OMe),H 2 O,,_,300,"[260,261]"
,La(thd) 3,( Me Cp) 2 ZrMe(OMe),O 3,,_,300,[262]
,La(tmsa) 3,Zr[N(CH 2 CH 3 )] 4,H 2 O,,0.58-0.72,250,[263]
Li 0.32 La 0.30 TiO 2,La(thd) 3,O 3,TiCl 4 / LiO t Bu,H 2 O,0.15-0.35,225,[204]
Li 7 La 3 Zr 2 O 12,LiO t Bu,[La( i Pr Famd) 3 ],TDMAZ,O 3,0.80,225,[203]
La 1-X Sr x FeO 3,La(thd) 3,Sr(thd) 2,Fe(thd) 3,O 3,0.20 -0.30,260,[200]
La 1-X Sr x MnO 3,La( Me Cp) 3,Sr n-Pr Me 4 Cp 2,Mn Me Cp 2,H 2 O,5.00,300,[151]
La 1-X Ca x MnO 3,La(thd) 3,Ca(thd) 2,Mn(thd) 3,O 3,0.15-0.40,235-285,[199]
"(La,Sr)CoO 3-𝛿",La(thd) 3,Sr(thd) 2,Co(acac) 3,O 3,0.50,250-310,[32]
La 2-x Sr x CuO 4-y,La(thd) 3,Cu(acac) 2,Sr(thd) 2,O 3,0.40,225,[201]
LaNi x Cu 1-x O 3,La(thd) 3,Ni(acac) 2,Cu(acac) 2,O 3,_,225,[205]
LaF 3,La(thd) 3,TiF 4,,,2.00-5.00,225-350,[133]
,La(thd) 3,O 3,Hfac,,0.49,250-300,[264]
La 2 S3,La(thd) 3,H 2 S,,,0.15,360-410,[130]
CeO 2,Ce(thd) 4,O 3,,,0.32,175-375,"[182,265-268]"
,Ce(thd) 3 phen,O 3,,,0.42,225-350,[265]
,Ce(mmp) 4,O 2 plasma,,,_,150-300,[85]
,,,,,,,(Continued)
